question,ragScore,baseScore
"How does a company's earnings per share (EPS) change due to a stock buyback?
",5,3
"How does a stop-loss order work in the stock market?
",5,5
"What is a good ETF for investing in the entire continent of Europe?
",5,4
"What is the effect of stock volatility on a limit order?
",5,2
"What type of criteria can be entered in the ETF screener of Yahoo! Finance?
",4,4
"How does choosing a market cap in a stock screener help in refining a stock search?

",3,5
"Why might company insiders sell their stock to diversify their holdings?
",5,5
"How does dollar cost averaging help investors?
",4,4
"Which type of ETF is generally considered a safer investing vehicle?
",3,4
"How does using margin in stock trading affect the return on investment?
",4,3
"What is the significance of a stock's RSI (Relative Strength Index) being under 30 in technical analysis?
",5,5
"How does buying on margin using leverage maximize gains in a favorable market?
",4,4
"How to approach stock selection and what to avoid?
",3,4
"What is the Federal Reserve Board's regulation regarding margin requirements for brokers?
",4,5
"What is the minimum debt to equity ratio required when purchasing stock on margin?
",5,5
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",5,5
"How can an investor measure the volatility of a stock's price?
",5,3
"What is required for an investor to be able to short a stock?
",3,5
"How much did FNMA's stock price drop between 2007 and 2008?
",4,5
"How do insiders report their stock trading activities?
",4,4
"How can a company increase its earnings per share without earning extra money?
",5,5
"How can a company protect itself from an unwanted takeover?
",3,3
"How does dollar cost averaging (DCA) help small investors purchase stocks at a lower average price per share?
",5,4
"How does a higher P/E ratio in an ETF affect its risk level?
",5,5
"What is one way to find stocks to go short on using the Yahoo! Finance screener?
",4,4
"What is the URL for Franklin Templeton's emerging markets blog?
",4,4
"What are ADRs and how can they be used for international investing?
",4,4
"Who was one of the first global investors to buy stocks of Japanese companies after World War II?
",5,2
"Does Yumpin Yimminy Corp. have a Dividend Reinvestment Plan (DRP) or Direct Purchase Plan (DPP)?
",3,3
"How is the profit margin calculated in the Yahoo! Finance tool?
",4,4
"What is a good maximum RSI value to use when doing a search with the RSI as one of the criteria?
",4,3
"How is the processing of a dividend reinvestment plan (DRP) typically handled?
",5,3
"How does a bank that issues an ADR handle currency conversion for American investors?
",5,3
"What is a conditional order in the context of stock trading?
",5,5
"How much money is needed to start investing in some DRPs?
",3,3
"What is a market order when buying stocks?
",4,5
"Why might someone use a day order to test a price?
",5,5
"What major law was passed in 2002 to protect investors from fraudulent accounting activities by corporations?
",5,5
"How does the number of shares in a DRP account increase over time with dividend reinvestment?
",5,5
"How does a broker obtain the shares to be shorted in a short sale?
",4,5
"What is dollar cost averaging (DCA) and how does it perform in different market conditions?
",3,4
"What can the stock buyback announcement by a company indicate?
",5,3
"What is the difference between developed markets and emerging markets in international investing?
",4,5
"How has technology made it easier to participate in DRPs?
",4,2
"What is the most convenient way for investors in the US to purchase international stocks?
",4,3
"How can you save stock screeners for future use in Yahoo! Finance?
",5,5
"What is the purpose of the short-swing profit rule enacted by the SEC?
",5,5
"What can be a possible indication of a company's negative prospects?
",3,3
"How can investors make profit when stock prices fall?
",4,4
"What is the uptick rule in the context of short selling?
",5,5
"What are some subcategories touched on for finding stocks with specific filters?
",4,4
"What is an example of an advanced order in stock trading?
",5,5
"How often do DRPs make stock purchases?
",3,3
"What is Motif Investing?
",4,3
"How can people stay informed about potential insider trading by government officials in the digital age?
",3,5
"What are consumer staples ETFs and why should they be included in a portfolio?
",4,3
"How are long-term capital gains taxed compared to short-term gains in the 28 percent tax bracket?
",4,5
"What happens when a currency is overproduced by a nation's central bank?
",4,5
"Who is the senior acquisitions editor for this publication?
",4,3
"What is the risk of trillion-dollar pension shortfalls in the stock market?
",3,5
"What are the dates when dividends are typically declared and paid?
",4,4
"How can investors identify good stocks during a bear market?
",3,3
"What is the most important financial element of a successful company?
",5,4
"Who is responsible for regulating the financial industry in the United States?
",3,3
"What is the website for The Bull & Bear, a fee-based subscription service for stock market news?
",5,4
"What is one website where I can find information about earnings estimates?
",4,3
"What is the title of a book that provides detailed financial reports on all major companies listed on the New York Stock Exchange and Nasdaq?
",4,4
"What is the estimated shortfall in pension funds?
",4,2
"Where can I find information about insider trading from the Securities and Exchange Commission?
",5,5
"What are the two main areas of focus for evaluating the financial health of a company through financial ratios?
",4,3
"What is equity defined as in the context?
",3,5
"What types of fees related to investments are tax deductible?
",5,4
"What is the purpose of using a put option in stock market?
",5,5
"How does the dividend yield change if a stock's price decreases while the dividend remains constant?
",5,5
"What are some risks associated with motif investing?
",3,3
"What is the price-to-sales ratio (PSR) and how is it calculated?
",4,3
"What is the IRS rule that prevents investors from selling losing stock and immediately buying it back to claim a short-term loss?
",5,5
"What is the tax rate for qualified dividends?
",4,4
"What does a rising total sales number indicate for a company?
",5,4
"How are income and net income calculated according to the book?
",5,5
"What is the purpose of IRS Publication 550 in relation to investment expenses?
",5,5
"What is the purpose of a reverse stock split?

",5,5
"How can long-term dividend growth indicate a stock's potential increase in price?
",5,5
"What is a megatrend and how does it affect stock prices?
",4,4
"What is the role of the Securities Investor Protection Corporation (SIPC)?
",4,5
"How much capital loss can be reported in a single year for tax deduction?
",3,5
"What is a conservative P/E ratio range for investing?
",5,3
"How does a company's use of debt to buy back stock affect its earnings?
",4,4
"What are consumer staples ETFs?
",5,4
"Who is the project manager that the author worked with for the sixth edition of the book?
",5,3
"How do interest rates affect stock prices?
",4,3
"What percentage of adjusted gross income must be exceeded before travel costs for checking investments can be deducted as miscellaneous expenses?
",5,5
"What is the formula for calculating the quick ratio?
",5,4
"What is inflation risk according to the context?
",5,4
"How is return on equity (ROE) calculated?
",5,3
"What are some stock investing websites recommended by 333MarketWatch?
",3,3
"What is one source for accessing annual reports online?
",3,3
"How can buying a call option be a profitable strategy during a bear market?
",4,4
"What are the two ways that profit from stock investments can be taxed?
",5,5
"What is the purpose of using common size ratios in analyzing a company's financial data?
",5,5
"What are some examples of liabilities that can affect a company's financial health?
",4,3
"What is the general discussion of the price-to-earnings (P/E) ratio?
",5,4
"What is motif investing and how does it work?
",3,3
"What is the purpose of having cash in a stock brokerage account?
",4,4
"What is considered a bargain in stock value according to the context?
",5,3
"What is the URL of the Best of the Web (BOTW) blog directory page that lists many excellent investing blogs?
",4,4
"What potential issue could cause damage to stock investments?
",3,3
"What is the leading organization for fee-based financial planners?
",4,4
"What is the purpose of dividend reinvestment plans (DRPs)?
",4,5
"What is the tax rate for long-term capital gains if an investor is in the 28% tax bracket or higher?
",4,4
"What is the current status of the US federal government's national debt?
",3,3
"What is a common way to minimize investment risk?
",5,5
"What types of stocks can a mutual fund invest in, according to the context?
",4,3
"What ideology has caused the most economic crises in history?
",4,3
"What is the classic investing book that is relevant in today's volatile stock market?
",5,5
"What is the website of the American Institute for Economic Research (AIER), an organization that helps understand the relationship between economics and politics?
",4,4
"What does a low Price-to-Earnings (P/E) ratio generally indicate from a financial strength point of view?
",5,5
"What is one source for obtaining financial information about stocks?
",3,3
"What is the purpose of monitoring accounts receivable during economic downturns?
",5,3
"How can a company benefit from rising total sales?
",4,5
"How many years has Paul Mladjenovic been a Certified Financial Planner?
",4,3
"How much interest does NEI pay for borrowing $20 million to buy back shares?
",5,3
"How is the current ratio calculated to assess a company's liquidity?
",5,5
"When was the STOCK Act passed and what was its initial purpose?
",4,5
"What type of stocks perform well during an economic recession and a bearish stock market?
",5,4
"What kind of stocks perform well when the economy is growing?
",3,4
"How are dividends taxed as per the IRS?
",4,5
"What is the definition of bear markets according to the context?
",5,4
"What is one disadvantage of technical analysis?
",3,3
"What is the interest rate of I bonds tied to?
",5,5
"How many appendices are there in the given context?
",2,5
"How do good and bad stocks perform after a terrorist event?
",5,4
"How many screening tools are mentioned in the context?
",4,4
"What is one example of a megatrend that can indicate growth investing opportunities?
",3,4
"Who can I contact to find a financial planner specializing in investing?
",4,4
"What is a negative reason for a company to conduct a reverse stock split?
",4,5
"Why is it beneficial for companies to have a low political profile?
",3,3
"What is a self-directed IRA and how can stock investors benefit from it?
",3,3
"What is a safer time to use margin in stock trading?
",4,3
"What is the price-to-earnings (P/E) ratio used for in relation to potential stock investment?
",4,4
"What is the purpose of EDGAR, the system maintained by the Securities and Exchange Commission (SEC)?
",5,5
"What are the two types of IRAs?
",4,5
"What is one of the best general investing websites according to the text?
",3,2
"What does a bear market reveal about a company's debt management?
",5,4
"What is the ""uptick rule"" related to in the context of finance?
",5,5
"What is a stop-loss order in stock investing?
",4,5
"What is the website for Charles Schwab & Co.?
",4,4
"What is the short-swing profit rule in the context of short selling?
",4,5
"Who does the author of the For Dummies series express gratitude towards in the end?
",3,4
"How should taxes be considered in stock transactions?
",4,4
"What is a value-oriented approach in growth investing?
",5,4
"What is the website for ETF Database?
",5,4
"What is the difference between industries and sectors in stock investing?
",5,5
"What are the two reasons for corporate stock buybacks?
",3,5
"How is the sales-to-receivables ratio calculated?
",5,5
"What type of interest is deductible as an itemized expense for stock investors?
",4,3
"What kind of resources can help me get inside information on stocks and market action?
",4,4
"What are some examples of defensive industries?
",3,4
"What does it indicate when a company's ROE is significantly higher than its ROA?
",5,4
"How is working capital calculated?
",4,4
"What is a 'cup and handle' pattern in charting?
",4,5
"What is a safer way to speculate on a stock falling compared to shorting it?
",5,5
"What is the formula to calculate the current ratio?
",5,5
"What forms do most investors use to report their investment-related activities?
",5,4
"What is the role of the Office of the Comptroller of the Currency in relation to derivatives held by financial institutions?
",5,4
"How do you calculate the debt-to-net-equity ratio?
",4,5
"What happens if you withdraw money from an IRA too early?
",4,4
"What should an investor do with a stock during a bear market if they are not retiring for ten years or more?
",4,4
"What is a good price-to-earnings (P/E) ratio to consider when investing in stocks?
",5,4
"How much can an individual contribute to a 401(k) plan in 2020?
",4,5
"What potential risks could arise if US debt is re-patriated by unfriendly governments?
",3,3
"What advantage does a company with a low political profile have?
",5,4
"What type of companies are at greatest risk during a financial crisis?
",4,4
"How can the Price-to-Book Ratio (PBR) be misleading for certain companies?
",3,3
"What are the five chapters in the ""Part of Tens"" section of a book?
",4,5
"What happens to the proceeds from a put option in a stock correction?
",5,5
"What is the total derivatives exposure of the top 25 US banks?
",4,5
"What is the website for finding filed documents related to stocks?
",3,3
"What are dividends paid out from in companies?
",3,5
"What is the advantage of holding an optionable stock?
",4,4
"What is the type of bond that small investors can buy for as little as $25?
",5,3
"What is the LinkedIn profile URL for Paul MLadjenovic?
",5,3
"What is the effect of an ordinary stock split on the share price?
",5,5
"What is the meaning of DPPs in the context of investing?
",5,3
"What does it mean when the market is growing in the context of investing?
",5,5
"Why might a company decide to do a stock split?
",4,4
"What are three ways to complement stock investing according to the chapter?
",5,3
"What is the purpose of the section when markets are down?
",4,4
"How are debts calculated as a percentage of total assets?
",5,3
"How can a put option be used to generate income from a current stock position?
",5,4
"How is the price-to-book ratio (PBR) calculated?
",5,4
"What is the name of the tool used to analyze ratios?
",3,4
"What is the basic equation to calculate net worth?
",5,5
"What is William O'Neill's preference for a trailing stop percentage?
",5,4
"What is the definition of a dividend?
",4,5
"What was the purpose of the uptick rule in the stock market?
",5,5
"What is a proxy statement in the context of shareholder voting?
",5,5
"How can investors find good stocks to buy during a bear market?
",4,4
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",3,4
"Who is required to disclose conflicts of interest on business channels?
",3,5
"Why might an investor not consider dividends?
",3,5
"What is included in the stock data section of a company's report?
",3,4
"What is the 52-week high price of SkyHighCorp?
",3,3
"What is the definition of ""collecting cash flows"" in the context of stock investment?
",3,5
"What is a minimum P/E ratio that can be used to find stocks vulnerable to a correction?
",3,3
"What is the title of the book that can help investors understand how to read financial reports without unnecessary technicality?
",4,2
"What is the significance of the head and shoulders pattern in technical analysis?
",5,5
"How do stocks perform compared to other financial investments over a 10-year period?
",4,5
"What is the total value of the person's long-term assets?
",3,3
"What is an example of an advanced order in stock trading?
",3,4
"What is the definition of financial risk in stock investing?
",5,3
"What is the New York Stock Exchange commonly referred to as?
",1,3
"What is the definition of the head and shoulders pattern in stock trading?
",5,5
"What are consumer staples ETFs?
",5,5
"What is the tax rate for long-term capital gains if an individual's ordinary income tax rate is 15%?
",4,5
"What happens when an investor engages in short-term speculating with a child's college fund money?
",4,4
"What is the website for Investing for Beginners?
",3,2
"What is one type of stock that can provide cash flow?
",5,4
"What ETF is commonly used for exposure to the Canadian stock market?
",3,4
"What are long-term financial goals?
",3,4
"Has Tesla or Uber achieved reliable profitability in their income statements as of early 2020?
",5,5
"What is the order of impact from politics to stock investment?
",3,3
"Why might investors bid up the price of a stock with a high P/E ratio?
",4,3
"What type of stocks are suitable for a conservative investor with a long-term financial goal?
",4,3
"What is a less risky way to use margin in stock trading?
",3,3
"What type of stock includes voting rights?
",5,5
"Who introduced candlestick charts and when?
",3,4
"What is the main difference between how mutual funds and ETFs manage their securities?
",4,5
"What is yield in the context of stock tables?
",4,5
"What is the strategy of reducing risk by spreading money across different investments called?
",5,5
"What type of investment is suitable for someone who wants their money to grow?
",5,5
"What are dividends paid out from in companies?
",5,5
"What is the result of government action against a company like GCU on investor's stock investments?
",4,4
"What is the definition of profit in a business context?
",4,4
"What is a conditional order in the context of stock trading?
",5,5
"When did the Dow Jones breach the 29,000 level for the first time?
",1,4
"What type of stocks are generally considered defensive?
",4,5
"How long does it take for deposited cash to be available for investing in a cash account?
",5,4
"What is a practice called where you invest an imaginary sum of money to learn about stock investing?
",4,5
"What type of ETFs primarily invest in the bonds of a particular country or region?
",5,5
"How is the current ratio calculated?
",5,5
"What is the website address to find out more about motif investing?
",1,5
"How much capital loss can be reported in a single year for tax deduction?
",5,4
"What types of fees related to investment management can be deducted?
",3,5
"What is a subcategory of technical analysis that uses charts?
",4,5
"What is the Gross Domestic Product (GDP) in the context of the economy?
",4,4
"How is the debt-to-net-equity ratio calculated?
",5,5
"What happened to marijuana stocks during 2018-2019?
",4,4
"What is the investing philosophy with the longest history of success?
",4,5
"When are stock gains considered taxable?
",4,4
"What entity has the greatest impact on investing and economics according to the context?
",3,3
"What is the greatest risk for new investors in stock market?
",3,3
"Who are cheaper to engage, discount brokers or full-service brokers?
",4,4
"What is the highest price SkyHigh-Corp's stock has reached in the past 52 weeks?
",3,1
"What happened to the stock price of DrKoop.com from 1999 to 2000?
",1,2
"What type of resources does Nasdaq offer for learning about stock investing?
",2,4
"What happened when more and more people borrowed against their homes during the economic boom?
",3,4
"What is diversification in the context of investing?
",5,5
"What is a source for doing homework on a country's geopolitical risks?
",4,4
"What type of industries should investors consider for stable demand?
",4,4
"What is the main difference between full-service brokers and discount brokers?
",4,3
"What is the primary role of a broker in stock trading?
",5,5
"What is one type of stock that can provide cash flow?
",4,4
"What is inflation risk in stock investing?
",5,4
"What is an ETF in stock investing?
",4,4
"What type of risk can tobacco companies be exposed to?
",3,4
"What is an important factor to consider when reading business news for investment purposes?
",4,3
"How can ETFs be bought and sold that is different from MFs?
",3,3
"What is the technical definition of volatility in the context of stock investing?
",4,5
"What kind of risky investment did millions of investors chase in 1998-2000?
",4,5
"Are exchange-traded funds (ETFs) typically optionable?
",5,5
"What are the three main emotions that can affect stock investing?
",3,3
"How can financial risk be reduced in stock investing?
",3,4
"What are stock symbols used for in stock investing?
",4,4
"What percentage of investment money should a conservative investor ideally keep in a single stock?
",5,5
"What is a convenient way to invest internationally?
",4,3
"What report must all publicly traded companies file with the SEC providing valuable information on the company's operations and financial data for the most recent year?
",5,3
"What impact can losing money in stocks have on some investors?
",5,3
"What happens when inexperienced investors see their stocks go down temporarily?
",5,3
"How is a stock's volatility determined?
",3,3
"What date is used to determine which stockholders qualify to receive a declared dividend?
",5,5
"What date determines if an investor qualifies for a quarterly dividend?
",5,5
"How do institutional stockbrokers earn money?
",4,3
"How can a comparative financial analysis of a company's net profit provide context for its performance?
",5,5
"What is the current trading price of DBC?
",5,1
"How does a company's net worth affect its solvency?
",5,3
"What is an ETF that tracks the composition of the S&P 500?
",5,5
"What is an exchange-traded fund (ETF)?
",3,3
"What type of ETFs are designed to go the opposite way of the underlying securities?
",4,5
"What is the most widely watched stock index?
",4,3
"What is yield in the context of stock tables?
",4,5
"What should investors keep to a minimum to become successful?
",3,2
"How do ETFs and MFs invest the pooled money from investors?
",4,3
"How much does the market value of Bob's 6-percent bonds need to drop if interest rates rise to 8 percent?
",3,2
"What event caused a major correction in the Dow Jones industrials in February 2020?
",5,5
"What is one primary benefit of using discount brokers over full-service brokers?
",5,5
"What is the 52-week high price of SkyHighCorp?
",3,3
"How do taxes affect the wealth-building program in stock investing?
",3,3
"What investment strategy can be used to decrease risk exposure when a portfolio is overly reliant on or exposed to events in specific sectors?
",4,4
"What is a practice called where you invest an imaginary sum of money to learn about stock investing?
",4,4
"What are two excellent publications for stock investors?
",4,4
"How much cash is needed to buy $10,000 worth of stock on margin?
",5,4
"What is the index that tracks 500 leading publicly traded companies and considered to be widely held?
",3,5
"What are three common types of brokerage accounts?
",5,4
"What negative outcome can occur when investors develop feelings of love for a particular stock?
",4,3
"How is the term ""volume"" used in the context of individual stocks?
",4,4
"How many dollars' worth of derivatives do some U.S. financial institutions hold?
",3,3
"How are brokers and account reps typically compensated in a brokerage firm?
",4,4
"When is the ex-dividend period for a stock purchase?
",4,5
"What is a significant increase in trading volume for a less active, smaller stock?
",5,3
"Do discount brokers charge fees for maintaining IRAs?
",5,5
"What are some ways to gather information for stock investing?
",4,5
"What investment option is suitable when someone expects the market to crash?
",3,3
"How can I find laws being proposed or enacted by the federal government?
",4,4
"What is the main difference between how mutual funds and ETFs manage their securities?
",5,5
"When does the trade get finalized after the date of execution in the stock market?
",4,3
"What is the role of bearish ETFs in a stock investor's portfolio?
",4,3
"What is the main engine of economic activity that is important for stock investing analysis?
",4,3
"What is a recommended amount of gross living expenses to set aside in a bank account or treasury money market fund?
",3,5
"What is one benefit of being aware of trends covered by media like Time magazine and CNN?
",4,3
"What is the role of a full-service broker?
",4,4
"What is the Gross Domestic Product (GDP) in the context of the economy?
",5,4
"What two basic disciplines are important to understand a company's finances?
",4,4
"How do discount brokers differ from full-service brokers in terms of cost?
",5,4
"How long does it take for deposited cash to be available for investing in a cash account?
",3,4
"Which type of stocks, with or without dividends, are generally better at weathering bad economic times?
",5,3
"Who is required to disclose conflicts of interest on business channels?
",3,5
"How do rising interest rates affect a company's customers?
",3,3
"What is a margin account called in the context of brokerage accounts?
",4,3
"What percentage of their money should retirees ideally have in stocks?
",3,2
"Why is it not advisable to base investment decisions on just one source?
",3,3
"What is a commonly used benchmark to measure a company's stock growth against the stock market?
",4,3
"How did some companies in the late 1990s boost their sales?
",3,5
"How much is the total assets of the company as shown in the balance sheet?
",4,3
"What is a general yardstick for comparing a company's sales growth?
",3,3
"What is an important factor to consider when determining the value of a company, besides its net worth?
",3,3
"What is the primary reason people invest in stocks?
",3,5
"Who tends to do better between those who use technical analysis in short-term trading and those who don't?
",3,3
"What are some types of investments that can provide income and cash flow?
",3,3
"What is the market value of a company determined by?
",3,3
"How much is an individual shareholder typically paid every year if they own 200 shares and the quarterly dividend remains constant?
",3,4
"What is the source of income for a REIT?
",4,5
"What type of financial information can help uncover value stocks?
",3,4
"What does the top line of a channel indicate in stock trading?
",3,3
"What is the payout ratio used to determine in investing?
",5,5
"What is the yield of Wilson Bank Savings account with a $1,000 deposit?
",3,3
"What happened to real estate investing between 2000-2007?
",1,5
"How is return on equity calculated?
",5,5
"What is a gap in a stock chart and how is it formed?
",5,5
"How is the opening price indicated in a bar chart?
",1,5
"Why are REITs exempt from corporate income tax and capital gains taxes?
",5,5
"What is an uptrend or bullish trend in technical analysis?
",3,5
"What number indicates an oversold condition in the Relative Strength Index (RSI)?
",3,5
"What is one way to evaluate a company's management?
",3,4
"What is the obligation when writing a put option?
",5,4
"Who has a better understanding of real-world economics between a Keynesian and an Austrian economist?
",3,4
"What is the definition of a dividend?
",5,5
"What type of stocks are generally considered defensive?
",5,5
"How many stocks can typically be bought at a good price during a bull market?
",2,3
"How can debt become a huge problem for a company?
",4,3
"What is the risk of writing covered calls?
",3,3
"What is book value in the context of stock investing?
",5,5
"What kind of advantage do UPS and FedEx have over their competitors?
",3,4
"Who is the opposite of the frenetic host on TV who gives hot stock tips?
",3,5
"What is the typical length of a short-term trend in financial markets?
",3,4
"What is a bearish pattern indicated by two price attempts called?
",5,5
"What investing strategy is generally associated with less risk and steadier growth over a longer term?
",5,5
"What is the equation used to determine a company's net worth on its balance sheet?
",5,5
"What is the investing philosophy with the longest history of success?
",5,3
"What is resistance in technical analysis?
",4,5
"How is dividend yield calculated?
",5,5
"What causes a stock's price to increase?
",3,3
"How does the government typically categorize dividends for tax purposes?
",4,5
"How can you find out a company's profit?
",4,3
"What is an important aspect of a company's performance that financial publications regularly track?
",4,3
"What does it mean if a stock has been oversold according to technical data?
",5,5
"What is a potential issue if an analyst has ties to the company they are recommending?
",4,4
"What is the symbol for the iShares Core High Dividend ETF?
",4,5
"What is a healthy dividend payout ratio?
",4,3
"What does the head and shoulders pattern in technical analysis indicate?
",1,5
"How can you calculate the portion of a portfolio that should be made up of income stocks?
",2,2
"Why can income stocks' prices not fall as dramatically as other stocks' prices in a declining market?
",5,4
"What is the positive effect on a company's stock if its offerings are well received by consumers?
",4,4
"What is the definition of ""collecting cash flows"" in the context of stock investment?
",4,4
"How does the government typically categorize dividends for tax purposes?
",4,5
"How do analysts determine a rating for a stock?
",3,3
"What is a low-risk options strategy that can boost a stock portfolio's cash flow?
",5,4
"What is the shape difference between a flag and a pennant in continuation patterns?
",5,4
"What is the major drawback of technical analysis according to the context?
",5,3
"How is a company's market capitalization calculated?
",5,4
"What kind of investment vehicle is a Business Development Company (BDC)?
",4,4
"When should analysts have recommended to sell certain stocks?
",2,3
"What is the highest rating issued by S&P?
",4,5
"What type of investment has elements of both a stock and a mutual fund?
",5,4
"What is the significance of the head and shoulders pattern in technical analysis?
",5,5
"What is the first thing a value investor should look at when analyzing a company's stock?
",3,3
