question,ragScore,baseScore
"What is a bedrock principle in technical analysis regarding the price movement of a stock?
",4,3
"What is the definition of sales in the context of a company's income statement?
",5,5
"How is the yield of a stock calculated?
",3,4
"Who are income stocks well-suited for according to the text?
",3,4
"What is the nickname for the Kentucky Derby?
",2,3
"What book provides a more comprehensive review of options?
",3,4
"Who are some legendary investors who didn't use technical analysis?
",4,4
"Why is a company's bond rating important for income stock investors?
",4,5
"What does a 'strong buy' or 'buy' recommendation mean for a stock?
",4,4
"What is a megatrend in the context of stock investing?
",5,5
"Are stock dividends and company dividends the same?
",3,5
"What is the importance of profit to a company?
",4,3
"What is the impact of institutional buying on a stock's price?
",5,5
"How can technical analysis help in trading or speculating?
",3,4
"Who are the investors that look at a company's value to judge whether they can purchase the stock at a good price?
",3,5
"What is the ROE for Grobaby in the year 2020?
",1,3
"What is the main focus of technical analysis in stock investing?
",5,5
"What is a growth stock in stock investing?
",5,5
"Why do certain types of companies require significant financing?
",3,3
"How can comparing a company's balance sheet over time help in evaluating its financial strength?
",4,4
"What is one website where I can discover more information about technical analysis?
",3,4
"What is the definition of a low price-to-sales ratio?
",5,5
"What is the first golden rule of writing put options?
",1,3
"How much was the total amount of derivatives held by the company according to its 10K report?
",5,3
"How is the dividend yield calculated in the financial pages for a stock?
",5,3
"Why are chart patterns still relevant in technical analysis?
",3,5
"How can investors determine a company's value?
",4,4
"What percentage of the stock picks of the author are profitable?
",1,3
"How can I use technical conditions to time a trade?
",3,2
"What is a subcategory of technical analysis that uses charts?
",3,5
"Who introduced candlestick charts and when?
",4,2
"What type of stocks can act as a safer investment during a bear market?
",5,4
"What does a symmetrical triangle pattern indicate in stock prices?
",5,5
"What does a notch on the left side of a vertical line in a bar chart represent?
",5,5
"Are Tesla and Uber profitable as of early 2020?
",5,4
"What is a market order when buying stocks?
",5,5
"Who was one of the first global investors to buy stocks of Japanese companies after World War II?
",1,3
"How can an investor minimize risk and potential losses while maximizing gains in small cap stocks?
",3,3
"What is the difference between investing and speculating in terms of the types of markets they are associated with?
",2,2
"What is the impact of price controls on a chair-building company's profits and survival?
",5,3
"How does choosing a market cap in a stock screener help in refining a stock search?

",5,5
"What is a good ETF option for investors looking for exposure to Africa's growth prospects?
",4,4
"What is the Standard & Poor's (S&P) Industry Survey and how can it be accessed?
",5,5
"What factors influence the growth of an industry?
",5,3
"How does a stop-loss order protect an investor's stock investment in a volatile market?
",4,4
"What is the role of central banks in managing the supply of currency?
",5,4
"What were some of the major causes of the market turmoil in late 2008?
",3,3
"What is a safe price-to-earnings (P/E) ratio range for stable, dividend-paying stocks?
",2,2
"What is the purpose of Form 3 in SEC filings?
",5,5
"How does the number of shares in a DRP account increase over time with dividend reinvestment?
",5,3
"How can investors buy stocks in small quantities through organizations?
",4,4
"How can defensive stocks grow despite not doing as well in good times?
",4,3
"Will the demand for library products and services continue in the long term?
",5,5
"What is the definition of small cap stocks in terms of market value?
",4,4
"What are some select newspapers that are worth keeping for investment purposes?
",3,4
"What is a trailing stop in stock investing?

",5,4
"What does the 'E' in the P/E ratio represent?
",5,5
"What are the different types of ETFs based on structure?
",3,2
"What is the significance of a stock's RSI (Relative Strength Index) being under 30 in technical analysis?
",5,5
"What is a conditional order in the context of stock trading?
",5,5
"How often do IPOs decline in price during the first 12 months?
",3,5
"What is the purpose of a proxy statement in the context of company meetings?
",5,5
"What is the most convenient way for investors in the US to purchase international stocks?
",3,3
"What is the purpose of Form 10K in the context of securities regulation?
",5,5
"How does the performance of cyclical and defensive industries differ during economic fluctuations?
",3,3
"What is a good-til-canceled (GTC) order in stock trading?
",4,5
"How does politics affect a company in a nonsystemic way?

",3,4
"What is a brokerage order technique that can help investors minimize losses?
",5,5
"What can the stock buyback announcement by a company indicate?
",3,5
"How often do DRPs make stock purchases?
",3,3
"What are some subcategories touched on for finding stocks with specific filters?
",4,4
"How does a broker obtain the shares to be shorted in a short sale?
",5,3
"What are some advantages of using margin loans from brokerage accounts?
",3,4
"What is the recommended amount of money to invest in small cap stocks for inexperienced investors?
",5,3
"What is the purpose of Direct Purchase Programs (DPPs) offered by companies?
",3,5
"Why did marijuana stocks soar in 2018?
",4,4
"What is a motif in the context of investing?
",4,4
"How much money do brokers typically require in an account before approving an investor for margin?
",5,5
"What is the role of government intervention in the growth or decline of an industry?
",4,3
"What is the result of government bailouts on the healthier private economy?
",3,3
"What is one way to find stocks to go short on using the Yahoo! Finance screener?
",2,3
"What is the definition of the price to sales ratio (PSR) in investing?
",3,5
"How can investors buy top stocks for a low cost with no brokerage commissions?
",4,4
"What is the track record of IPOs during their first year?
",4,3
"What is the Consumer Confidence Index and why is it important for investors?
",5,3
"What is the purpose of using a street name for holding stocks in a brokerage account?
",1,5
"How does dollar cost averaging (DCA) help small investors purchase stocks at a lower average price per share?
",5,5
"Why might company insiders sell their stock to diversify their holdings?
",5,5
"What is the function of a stock screening tool?
",5,5
"What is the Federal Reserve Board's regulation regarding margin requirements for brokers?
",1,5
"What is the risk associated with motif investing?
",4,4
"How can you save stock screeners for future use in Yahoo! Finance?
",4,5
"Why might someone use a day order to test a price?
",5,3
"What can be a possible indication of a company's negative prospects?
",3,4
"What type of criteria can be entered in the ETF screener of Yahoo! Finance?
",3,4
"What are three government resources where investors can learn about policies that can affect their wealth?
",4,4
"What indicates a serious recession or possibly a depression in the economy?
",3,4
"Who is John Templeton and how did he make his fortune?
",1,4
"How can I check a company's financial reports and see if any complaints have been filed against it?
",4,4
"What is an example of a popular theme in ETFs according to the text?
",3,3
"How does a bank that issues an ADR handle currency conversion for American investors?
",3,2
"What is the potential impact of price controls on a business that sells chairs?
",4,3
"What are some recommended sources for private reports and commentaries on the economy?
",4,4
"What does a significant increase in accounts receivable compared to sales in a company's balance sheet indicate?
",3,4
"What happened to the first wave of dot-com companies?
",5,5
"How does a new tax, law, or regulation impact a stock?
",3,2
"What is the purpose of using stock screening tools?
",5,5
"What does the P/E ratio represent in the context of stock valuation?
",4,5
"What is the risk of buying the stock of a company that is not making a profit?
",5,3
"What is dollar cost averaging (DCA) and how does it perform in different market conditions?
",3,4
"How does a higher P/E ratio in an ETF affect its risk level?
",5,5
"What are some popular websites to find small cap and micro cap stocks?
",3,3
"What is the role of the National Unemployment Report in providing a snapshot of the economy's health and productivity?
",4,5
"What kind of industries tend to do well when consumers and investors are confident and tend to spend and invest more money than usual?
",4,3
"How can someone invest in international stocks conveniently?
",5,4
"What is the minimum amount required to open a cash account with Motif?
",3,4
"How do stock screening tools handle a search when only one value or parameter is entered?
",4,5
"What percentage of a stock portfolio should ideally be in financially sound companies?
",3,3
"How can I obtain company documents filed with the SEC for free?
",3,4
"What is the benefit of OCPs in DRPs?
",1,1
"What is the difference between developed markets and emerging markets in international investing?
",5,3
"What can be the significance of insider selling?
",4,3
"What is the Consumer Price Index (CPI) and how does it affect the stock market?
",3,4
"How do politics affect stock investing decisions?
",4,3
"How can I access a company's annual report?
",3,3
"What is a good example of a leading robotics ETF?
",4,3
"What is an example of an advanced order in stock trading?
",3,4
"How is the popularity of an ETF measured in the ETF Database screener?
",3,3
"How is the profit margin calculated in the Yahoo! Finance tool?
",1,4
"What is the uptick rule in the context of short selling?
",1,5
"What kind of investment does buying stock in developed, mature economies represent?
",5,5
"How much profit do you make if you buy back 100 shares at $40 each in a short sale?
",3,3
"How does using margin in stock trading affect the return on investment?
",1,3
"What is a country-specific ETF that offers the most singular exposure to South Korea?
",3,4
"What type of ETFs primarily invest in the bonds of a specific country or region?
",4,5
"What was the purpose of the uptick rule in the stock market?
",5,4
"How does a company's earnings per share (EPS) change due to a stock buyback?
",5,5
"Where can investors find the company's strategic plan for the upcoming year in an annual report?
",3,3
"What is the website address for Standard & Poor's publications?
",3,4
"How does the distribution of a company's offerings impact its stock price?
",3,3
"What type of reports are publicly available that show insider's stock transactions?
",5,4
"What is the impact of excessive regulations, burdensome mandates, and high taxes on investors?
",4,4
"What is beta in stock market terminology?
",5,5
"What is the effect of stock volatility on a limit order?
",4,3
"What can harm business formation and lead to investor losses?
",3,3
"What is the difference between a sector and an industry in the context of investing?
",3,5
"What is a recommended way to participate in the growth of cryptocurrencies with less exposure to their risks and volatility?
",3,4
"How can the actions of company insiders provide clues into the near-term prospects for their company?
",5,5
"How does a trailing stop-loss order work in the stock market?
",4,3
"How can a company protect itself from an unwanted takeover?
",3,3
"Which countries in Eastern Europe are considered developed and emerging as of 2020?
",4,3
"How many shares did the CEO buy in the example given in the context?
",1,1
"What are the two types of companies to consider investing in after choosing an industry?
",2,3
"How does dollar cost averaging help investors?
",3,2
"What is an example of a company that can be invested in if an investor believes soybeans will do well in the future?
",5,4
"How can a company increase its earnings per share without earning extra money?
",5,4
"What is a safer investing vehicle in terms of performance duration?
",3,4
"How does buying on margin using leverage maximize gains in a favorable market?
",5,4
"How is the processing of a dividend reinvestment plan (DRP) typically handled?
",4,3
"Can I use the stock from my DRP to pay off debt?
",3,4
"What was the best performing motif in the 12-month period ending October 2019?
",3,3
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",5,4
"What should you consider when analyzing insider selling patterns?
",3,3
"How much money is needed to start investing in some DRPs?
",3,4
"What is the URL for Franklin Templeton's emerging markets blog?
",2,5
"What is required for an investor to be able to short a stock?
",3,5
"What is the recommended way to invest in cryptocurrencies?
",5,4
"What are some factors that can contribute to the growth or decline of an industry?
",3,3
"What is a suitable investment option if I believe that grains in general will do well but am unsure which ones will be most profitable?
",4,4
"How can using margin lead to increased losses in the stock market?
",3,3
"Why is the federal government considering intervening in GCU's operations?
",1,3
"How can a company's sales to politically unstable countries impact its stock?
",3,4
"What is the minimum debt to equity ratio required when purchasing stock on margin?
",4,3
"How many years does the annual report's summary of past financial figures typically cover?
",4,4
"What is a global ETF and what are some widely traded examples?
",3,4
"Which major mutual fund companies have a global mutual fund?
",4,3
"What are ADRs and how can they be used for international investing?
",4,5
"How much in derivatives are major money center banks carrying according to the Bank for International Settlements?
",4,4
"Why is it important to read annual reports for stocks held for the long term?
",5,5
"How is the average cost per share calculated in a Dollar Cost Averaging (DCA) strategy?
",1,3
"What kind of industries tend to increase their spending during economic prosperity?
",3,5
"How can an investor measure the volatility of a stock's price?
",3,3
"What is risk capital in the context of small cap stocks?
",5,5
"What is a good ETF for investing in the entire continent of Europe?
",4,3
"What is the purpose of a Form 10Q report?
",5,5
"What is a short squeeze in stock market?
",5,5
"How does an increase in the money supply impact stock investing?
",5,4
"How has technology made it easier to participate in DRPs?
",2,3
"What is the preference for a trailing stop setting according to William O'Neill?
",3,1
"What can insider buying indicate about a company's stock?
",3,3
"Does Yumpin Yimminy Corp. have a Dividend Reinvestment Plan (DRP) or Direct Purchase Plan (DPP)?
",5,3
"How can novice ETF investors ensure they're buying a large ETF with higher market capitalization?
",5,3
"What is the Producer Price Index (PPI) and how is it calculated?
",4,3
"How does a limit order work when buying a stock?
",4,4
"What is the importance of financial reports in investing and where can one learn to read them?
",3,4
"What is the difference between developed and emerging Europe in terms of investment?
",3,5
"What is the website to find great ETFs on small cap stocks?
",3,4
"What is the typical P/E range for electric utility industry stocks?
",3,3
"What is a good maximum RSI value to use when doing a search with the RSI as one of the criteria?
",4,3
"How much value did retirees' nest eggs lose during the 2008-2009 bear market?
",1,3
"How is a company's profit usually reported in the financial media?
",4,4
"How much did FNMA's stock price drop between 2007 and 2008?
",3,5
"What kind of information does the stock data section in a report typically include?
",3,4
"How can investors make profit when stock prices fall?
",4,4
"How can ratios provide context to a company's financial data?
",4,5
"How does a stop-loss order work in the stock market?
",5,4
"What percentage growth in total earnings is considered a good benchmark for a company's year-to-year growth?
",5,5
"What can be the potential downside of brokerage reports?
",3,3
"What is a requirement to start participating in a Dividend Reinvestment Plan (DRP)?
",4,5
"Who prepares the stock reports provided by research departments at brokerage firms?
",4,4
"How can long-term stock investors buy stocks without using a broker?
",3,3
"How do insiders report their stock trading activities?
",4,4
"What does the company's letter communicate about its action plan for addressing difficulties?
",5,4
"What is the purpose of Standard & Poor's (S&P) Stock Reports?
",5,5
"What happens to a day order if the stock price does not reach the specified price by the end of the trading day?
",4,4
"What is motif investing and how much money is required to start?
",4,3
"Why might investors buy stocks of a company with a high P/E ratio?
",3,3
"How long does it take for the business to pay for itself in the example given?
",3,3
"What is a generally accepted price-to-sales ratio (PSR) that indicates a reasonably priced stock?
",3,4
"Do many brokers charge fees for Good 'til Cancelled (GTC) orders?
",3,4
"How to approach stock selection and what to avoid?
",3,4
"Which newspapers publish a year-in-review issue in the first business week of January?
",1,3
"What is the analogy used to explain the concept of successful industries?
",3,4
"What is one investment opportunity for those who want to benefit from the world's efforts to ""go green and clean""?
",4,4
"What type of stocks are generally riskier and require more research compared to large cap stocks?
",5,5
"What is the purpose of the letter from the chairman of the board in a company's annual report?
",5,5
"What happens when two orders are entered simultaneously with the condition that if one order is executed, the second order is automatically canceled?
",5,5
"What major law was passed in 2002 to protect investors from fraudulent accounting activities by corporations?
",5,5
"What is the ""4 Investment Strategies and Tactics"" primarily focused on?
",3,5
"What is the broadest measure of economic activity?
",5,5
"How do politics affect stock investing according to the text?
",3,4
"What is the purpose of the short-swing profit rule enacted by the SEC?
",5,5
"What should investors be aware of when speculating in small cap stocks?
",4,5
"What indicates a serious recession or possibly a depression?
",2,3
"What organization publishes the Consumer Confidence Index?
",5,5
"What is the purpose of checking a company's accounts receivable to detect potential issues with artificially boosted sales?
",5,5
"Who is John Templeton and how did he start his multimillion-dollar fortune?
",3,3
"What is the recommended amount of money to invest in small cap stocks for beginners?
",5,3
"What is the purpose of reading an annual report in investing?
",5,5
"What happened to marijuana stocks during 2018-2019?
",5,5
"What is the minimum amount of money required to start motif investing?
",3,5
"How much value did retirees' nest eggs lose during the 2008-2009 bear market?
",1,3
"What type of animal is likely to win a one-mile race between thoroughbred racehorses, overweight Elvis impersonators, and lethargic snails?
",4,5
"What is the Standard and Poor's (S&P) Industry Survey and how can you access it?
",4,5
"How can a company's sales to a war-torn or politically unstable country impact its stock?
",3,3
"How is the price-to-earnings (P/E) ratio calculated?
",4,4
"Who is AIG and what happened to them in late 2008?
",5,5
"How does politics affect a company in a nonsystemic way?
",3,3
"What is the definition of small cap stocks in terms of market value?
",5,4
"What is the purpose of Form 10K in the SEC filing?
",4,5
"How do stock screening tools allow users to search for stocks based on dividend yield?
",4,5
"How does a company's distribution of offerings impact its stock price?
",5,3
"What factors can contribute to the growth or decline of an industry?
",3,3
"How can I check a company's financial reports and see if any complaints have been filed against it?
",4,3
"What is the term for the money allocated for small cap stock investments that one can afford to lose?
",4,5
"How can I access a company's annual report?
",4,4
"How often do IPOs decline in price during the first 12 months?
",5,5
"What is the top performing motif for the 12-month period that ended October 2019?
",1,3
"What is the first dynamic impact of artificially lower prices set by price controls?
",5,5
"What is the first thing you typically see with a stock screening tool?
",1,3
"What is the name of the guide published by Standard & Poor's that provides a summary of stocks on the New York Stock Exchange and the largest firms listed on Nasdaq?
",1,4
"What type of fiscal year ends on December 31?
",4,5
"What is the greatest external threat to a company's survival according to the text?
",2,4
"What is a good investment option if I believe that grains in general will do well but I'm unsure which ones will be most profitable?
",4,4
"What does the company's letter communicate about its plan to address difficulties?
",5,3
"How many years does it take for the business to pay for itself in a P/E ratio of 30 for a small cap, high-technology firm?
",3,2
"What does the P/E ratio represent in the context of stock valuation?
",5,5
"In what way can brokerage reports be considered bad?
",2,3
"What is the result of government action against a company like GCU on the company's stock price?
",3,3
"What is the purpose of voting by proxy as a shareholder?
",5,5
"What is a popular website to find stock reports and SEC filings for small cap companies?
",4,3
"What is the minimum amount required to open a cash account with Motif?
",3,2
"What is a motif in the context of investing?
",3,5
"What is the purpose of a Form 10Q report?
",5,5
"What type of stocks are generally riskier due to their size?
",5,5
"How can ratios provide context to a company's earnings?
",3,3
"What is a generally accepted price-to-sales ratio (PSR) threshold for reasonably priced stocks?
",4,3
"What percentage growth in total earnings is considered a good benchmark?
",3,3
"What department of a company keeps SEC documents on hand and provides them to interested parties for free?
",4,5
"What is the purpose of the letter from the chairman of the board in a company's annual report?
",4,5
"What kind of industries rely on megatrends for growth?
",2,5
"Why might investors pay more for a company's stock, resulting in a higher P/E ratio?
",3,4
"What is the website address for Mish's Global Economic Trend Analysis?
",2,2
"What is the website address for Standard & Poor's publications?
",4,4
"How can I buy top stocks for as little as $50?
",2,4
"How can I find great ETFs on small cap stocks?
",4,3
"What type of stocks can an investor consider if they want to profit from the growth of online gambling?
",3,5
"What are three newspapers recommended for maintaining a personal investment research library?
",5,4
"How does an increase in the money supply impact stock prices?
",3,3
"What index calculates the prices paid at the wholesale level by manufacturers and producers?
",1,5
"What organization provides the National Unemployment Report?
",5,5
"How can an investor minimize risk and potential losses with small cap stocks?
",2,3
"Who prepares the stock reports provided by research departments at brokerage firms?
",5,4
"What is the full title of the ""Leading Economic Indicators"" statistic?
",5,3
"What is the typical P/E range for electric utility industry stocks?
",3,3
"What is the risk associated with motif investing?
",5,4
"How is a company's profit usually reported in the financial media?
",3,3
"What happened to many dot-com companies during the initial wave of the internet in the late 1990s?
",5,5
"What kind of industries are referred to as cyclical industries?
",5,5
"What is an example of a company that can be invested in if you believe soybeans will do well in the future?
",5,4
"What kind of performance can be expected from a healthcare sector ETF in different economic conditions?
",3,3
"How does a new tax, law, or regulation affect a stock?
",4,2
"Why is the federal government considering intervening in GCU's operations?
",2,5
"What is the relationship between politics and stock investing?
",4,4
"What can cause a company's facilities to become worthless and lead to huge losses?
",3,3
"What is the unit value of Bitcoin (BTC) during its peak in late 2017 to early 2018?
",3,4
"What is the role of politics in stock investing decisions?
",5,5
"What happens to company profits when interest rates go down?
",4,5
"What is the broadest measure of economic activity?
",5,5
"How many years does the annual report usually summarize in terms of past financial figures?
",4,4
"What are the governmental entities responsible for managing the supply of currency in the economy?
",5,5
"What is the significance of population growth and new markets for defensive stocks?
",5,3
"What is a leading robotics ETF?
",4,3
"What is a stock screening tool?
",5,5
"What type of IPO tends to be less risky?
",4,5
"What is the definition of the price to sales ratio (PSR)?
",4,4
"What is one investment strategy discussed in the context?
",1,5
"Where can investors find the company's strategic plan for the coming year in an annual report?
",4,4
"What percentage of a stock portfolio should ideally be in financially sound companies?
",3,4
"What is a recommended way to participate in the growth of cryptocurrencies with less exposure to their risks and volatility?
",3,3
"Which newspapers regularly publish a year-in-review issue in the first business week of January?
",1,3
"Will society continue to want the products and services provided by the sector in the long term?
",3,2
"How much in derivatives are major money center banks carrying according to the Bank for International Settlements?
",3,3
"What are two types of companies to consider investing in within an industry?
",5,5
"What is a recommended book to help understand financial reports?
",3,2
"What is included in the stock data section of a company's report?
",4,4
"What is the difference between a sector and an industry in the context of investing?
",3,5
"What are industries that continue to do well regardless of the economy called?
",5,5
"What happens to a chair-building company's profits when production costs rise and price controls are in effect?
",4,3
"What is the website address for the Federal Reserve?
",3,5
"What is a good-til-canceled (GTC) order in stock trading?
",4,4
"Do many brokers charge fees for Good 'til Cancelled (GTC) orders?
",3,3
"How is the average cost per share calculated in a Dollar Cost Averaging (DCA) strategy?
",1,5
"What is a brokerage order technique that can help investors minimize losses?
",5,5
"How can investors buy stocks in small quantities through organizations?
",4,4
"How can I interpret insider selling patterns to predict potential negative developments at a company?
",3,3
"What is the preference for a trailing stop setting according to William O'Neill?
",3,2
"What is the purpose of using a street name for holding stocks in a brokerage account?
",2,5
"What is a good ETF option for investors looking for exposure to Africa's growth prospects?
",4,4
"Which country was once considered a communist country but is now seen as more investor-friendly?
",4,3
"How can someone invest in international stocks conveniently?
",5,4
"What is a safe price-to-earnings (P/E) ratio range for stable, dividend-paying stocks?
",3,2
"What is a key fundamental that investors should focus on when searching for stocks?
",3,3
"What type of ETFs primarily invest in the bonds of a specific country or region?
",4,4
"What can insider buying indicate about a company's stock?
",3,3
"What is the difference between developed and emerging Europe in terms of investment?
",5,5
"What is a country-specific ETF that offers the most singular exposure to South Korea?
",2,4
"How is the popularity of an ETF measured in the ETF Database screener?
",2,3
"What can be the significance of insider selling?
",5,3
"What was the purpose of the uptick rule in the stock market?
",5,5
"What is the purpose of Direct Purchase Programs (DPPs) offered by companies?
",3,4
"How does a stop-loss order protect an investor's stock investment in a volatile market?
",5,4
"How does a limit order work when buying a stock?
",5,4
"Can I use the stock from my DRP to pay off debt?
",3,5
"How can novice ETF investors ensure greater liquidity when selecting an ETF?
",4,4
"What is a requirement to start participating in a Dividend Reinvestment Plan (DRP)?
",3,5
"How many shares did the CEO buy in the example given in the context?
",1,3
"How can the actions of company insiders provide clues into the near-term prospects for their company?
",3,4
"What is the purpose of Form 3 in SEC filings?
",5,5
"What happens when two orders are entered simultaneously with the condition that if one order is executed, the second order is automatically canceled?
",4,5
"What is the difference between investing and speculating in terms of the types of markets they are associated with?
",3,4
"How does a trailing stop-loss order work in the stock market?
",4,3
"What is a short squeeze in stock market?
",5,5
"What is a global ETF and what are some widely traded examples?
",3,4
"How much money do brokers typically require in an account before approving an investor for margin?
",5,4
"What is a trailing stop in stock investing?

",5,5
"Which major mutual fund companies have a global mutual fund?
",3,3
"What are the different types of ETFs based on structure?
",3,4
"What is the benefit of OCPs in DRPs?
",1,1
"What is beta in stock market terminology?
",5,5
"Which countries in Eastern Europe are considered developed and emerging as of 2020?
",3,5
"What are some advantages of using margin loans from brokerage accounts?
",3,4
"How much profit do you make if you buy back 100 shares at $40 each in a short sale?
",2,4
"How can using margin lead to increased losses in the stock market?
",3,4
"How can long-term stock investors buy stocks without using a broker?
",3,4
"What happens to a day order if the stock price does not reach the specified price by the end of the trading day?
",5,4
